Ano,Ambito,Departamento,Provincia,Distrito,Organizacion,Votos,Validos,Emitidos
2006,PERU,CAJAMARCA,CAJABAMBA,CACHACHI,ALIANZA POR EL FUTURO,"1,352",42.436 %,25.694 %
2006,PERU,CAJAMARCA,CAJABAMBA,CACHACHI,PARTIDO APRISTA PERUANO,549,17.232 %,10.433 %
2006,PERU,CAJAMARCA,CAJABAMBA,CACHACHI,UNION POR EL PERU,414,12.994 %,7.868 %
2006,PERU,CAJAMARCA,CAJABAMBA,CACHACHI,FRENTE DE CENTRO,280,8.788 %,5.321 %
2006,PERU,CAJAMARCA,CAJABAMBA,CACHACHI,UNIDAD NACIONAL,220,6.905 %,4.181 %
2006,PERU,CAJAMARCA,CAJABAMBA,CACHACHI,RESTAURACION NACIONAL,108,3.390 %,2.052 %
2006,PERU,CAJAMARCA,CAJABAMBA,CACHACHI,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,95,2.982 %,1.805 %
2006,PERU,CAJAMARCA,CAJABAMBA,CACHACHI,ALIANZA PARA EL PROGRESO,34,1.067 %,0.646 %
2006,PERU,CAJAMARCA,CAJABAMBA,CACHACHI,PARTIDO JUSTICIA NACIONAL,30,0.942 %,0.570 %
2006,PERU,CAJAMARCA,CAJABAMBA,CACHACHI,MOVIMIENTO NUEVA IZQUIERDA,16,0.502 %,0.304 %
2006,PERU,CAJAMARCA,CAJABAMBA,CACHACHI,FUERZA DEMOCRATICA,14,0.439 %,0.266 %
2006,PERU,CAJAMARCA,CAJABAMBA,CACHACHI,CON FUERZA PERU,14,0.439 %,0.266 %
2006,PERU,CAJAMARCA,CAJABAMBA,CACHACHI,PARTIDO RECONSTRUCCION DEMOCRATICA,13,0.408 %,0.247 %
2006,PERU,CAJAMARCA,CAJABAMBA,CACHACHI,RESURGIMIENTO PERUANO,12,0.377 %,0.228 %
2006,PERU,CAJAMARCA,CAJABAMBA,CACHACHI,PARTIDO SOCIALISTA,11,0.345 %,0.209 %
2006,PERU,CAJAMARCA,CAJABAMBA,CACHACHI,PROGRESEMOS PERU,10,0.314 %,0.190 %
2006,PERU,CAJAMARCA,CAJABAMBA,CACHACHI,CONCERTACION DESCENTRALISTA,7,0.220 %,0.133 %
2006,PERU,CAJAMARCA,CAJABAMBA,CACHACHI,PARTIDO RENACIMIENTO ANDINO,6,0.188 %,0.114 %
2006,PERU,CAJAMARCA,CAJABAMBA,CACHACHI,PERU AHORA,1,0.031 %,0.019 %
2006,PERU,CAJAMARCA,CAJABAMBA,CACHACHI,Y SE LLAMA PERU,0,0.000 %,0.000 %
2006,PERU,CAJAMARCA,CAJABAMBA,CACHACHI,Votos Blancos,"1,639",,31.148 %
2006,PERU,CAJAMARCA,CAJABAMBA,CACHACHI,Votos Nulos,437,,8.305 %
2006,PERU,CAJAMARCA,CAJABAMBA,CACHACHI,Votos Impugnados,0,,0.000 %
2006,PERU,CAJAMARCA,CAJABAMBA,CAJABAMBA,ALIANZA POR EL FUTURO,"4,937",36.187 %,26.249 %
2006,PERU,CAJAMARCA,CAJABAMBA,CAJABAMBA,UNION POR EL PERU,"2,713",19.886 %,14.425 %
2006,PERU,CAJAMARCA,CAJABAMBA,CAJABAMBA,PARTIDO APRISTA PERUANO,"2,249",16.485 %,11.958 %
2006,PERU,CAJAMARCA,CAJABAMBA,CAJABAMBA,UNIDAD NACIONAL,"1,678",12.299 %,8.922 %
2006,PERU,CAJAMARCA,CAJABAMBA,CAJABAMBA,FRENTE DE CENTRO,"1,029",7.542 %,5.471 %
2006,PERU,CAJAMARCA,CAJABAMBA,CAJABAMBA,RESTAURACION NACIONAL,388,2.844 %,2.063 %
2006,PERU,CAJAMARCA,CAJABAMBA,CAJABAMBA,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,176,1.290 %,0.936 %
2006,PERU,CAJAMARCA,CAJABAMBA,CAJABAMBA,ALIANZA PARA EL PROGRESO,85,0.623 %,0.452 %
2006,PERU,CAJAMARCA,CAJABAMBA,CAJABAMBA,MOVIMIENTO NUEVA IZQUIERDA,82,0.601 %,0.436 %
2006,PERU,CAJAMARCA,CAJABAMBA,CAJABAMBA,PARTIDO JUSTICIA NACIONAL,74,0.542 %,0.393 %
2006,PERU,CAJAMARCA,CAJABAMBA,CAJABAMBA,CONCERTACION DESCENTRALISTA,47,0.344 %,0.250 %
2006,PERU,CAJAMARCA,CAJABAMBA,CAJABAMBA,FUERZA DEMOCRATICA,37,0.271 %,0.197 %
2006,PERU,CAJAMARCA,CAJABAMBA,CAJABAMBA,PROGRESEMOS PERU,35,0.257 %,0.186 %
2006,PERU,CAJAMARCA,CAJABAMBA,CAJABAMBA,PARTIDO RECONSTRUCCION DEMOCRATICA,32,0.235 %,0.170 %
2006,PERU,CAJAMARCA,CAJABAMBA,CAJABAMBA,PERU AHORA,18,0.132 %,0.096 %
2006,PERU,CAJAMARCA,CAJABAMBA,CAJABAMBA,RESURGIMIENTO PERUANO,17,0.125 %,0.090 %
2006,PERU,CAJAMARCA,CAJABAMBA,CAJABAMBA,CON FUERZA PERU,16,0.117 %,0.085 %
2006,PERU,CAJAMARCA,CAJABAMBA,CAJABAMBA,PARTIDO SOCIALISTA,11,0.081 %,0.058 %
2006,PERU,CAJAMARCA,CAJABAMBA,CAJABAMBA,PARTIDO RENACIMIENTO ANDINO,10,0.073 %,0.053 %
2006,PERU,CAJAMARCA,CAJABAMBA,CAJABAMBA,Y SE LLAMA PERU,9,0.066 %,0.048 %
2006,PERU,CAJAMARCA,CAJABAMBA,CAJABAMBA,Votos Blancos,"3,708",,19.715 %
2006,PERU,CAJAMARCA,CAJABAMBA,CAJABAMBA,Votos Nulos,"1,457",,7.747 %
